date,Alpha,Beta,Delta,Epsilon,Gamma,Iota,Omicron,location
2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01
2021-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01
2021-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01
2021-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01
2021-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01
2021-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01
2021-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01
2021-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01
2021-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01
2021-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01
2021-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01
2021-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01
2021-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01
2021-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01
2021-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01
2021-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01
2021-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01
2021-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01
2021-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01
2021-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01
2021-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01
2021-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01
2021-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01
2021-01-24,0.0172413793103448,0.0,0.0,0.0,0.0,0.0,0.0,01
2021-01-25,0.0571428571428571,0.0,0.0,0.0142857142857143,0.0,0.0,0.0,01
2021-01-26,0.0560747663551402,0.0,0.0,0.0093457943925233,0.0,0.0,0.0,01
2021-01-27,0.0534351145038168,0.0,0.0,0.0076335877862595,0.0,0.0,0.0,01
2021-01-28,0.0579675572519084,0.0,0.0,0.00772304389312975,0.0,0.0,0.0,01
2021-01-29,0.0625,0.0,0.0,0.0078125,0.0,0.0,0.0,01
2021-01-30,0.0629432624113475,0.0,0.0,0.005208333333333334,0.0,0.0,0.0,01
2021-01-31,0.06338652482269501,0.0,0.0,0.002604166666666667,0.0,0.0,0.0,01
2021-02-01,0.0638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,01
2021-02-02,0.0727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,01
2021-02-03,0.192307692307692,0.0,0.0,0.0,0.0,0.0,0.0,01
2021-02-04,0.178571428571429,0.0,0.0,0.0,0.0,0.0,0.0,01
2021-02-05,0.0983606557377049,0.0,0.0,0.0163934426229508,0.0,0.0,0.0,01
2021-02-06,0.0795454545454546,0.0,0.0,0.0113636363636364,0.0,0.0,0.0,01
2021-02-07,0.0898876404494382,0.0,0.0,0.0112359550561798,0.0,0.0,0.0,01
2021-02-08,0.138297872340426,0.0,0.0,0.0106382978723404,0.0,0.0,0.0,01
2021-02-09,0.119266055045872,0.0,0.0,0.0091743119266055,0.0,0.0091743119266055,0.0,01
2021-02-10,0.0866141732283465,0.0,0.0,0.015748031496063,0.0,0.0078740157480315,0.0,01
2021-02-11,0.102941176470588,0.0,0.0,0.0147058823529412,0.0,0.0073529411764705,0.0,01
2021-02-12,0.131313131313131,0.0,0.0,0.0101010101010101,0.0,0.0101010101010101,0.0,01
2021-02-13,0.164383561643836,0.0,0.0,0.0136986301369863,0.0,0.0136986301369863,0.0,01
2021-02-14,0.150684931506849,0.0,0.0,0.0273972602739726,0.0,0.0136986301369863,0.0,01
2021-02-15,0.0571428571428571,0.0,0.0,0.0285714285714286,0.0,0.0142857142857143,0.0,01
2021-02-16,0.122448979591837,0.0,0.0,0.0408163265306122,0.0,0.0,0.0,01
2021-02-17,0.194444444444444,0.0,0.0,0.0277777777777778,0.0,0.0,0.0,01
2021-02-18,0.204365079365079,0.0,0.0,0.03174603174603175,0.0,0.0,0.0,01
2021-02-19,0.214285714285714,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,01
2021-02-20,0.2689832689832687,0.0,0.0,0.0328185328185328,0.0,0.0,0.0,01
2021-02-21,0.32368082368082335,0.0,0.0,0.029922779922779898,0.0,0.0,0.0,01
2021-02-22,0.378378378378378,0.0,0.0,0.027027027027027,0.0,0.0,0.0,01
2021-02-23,0.345454545454545,0.0,0.0,0.0181818181818182,0.0,0.0181818181818182,0.0,01
2021-02-24,0.368421052631579,0.0,0.0,0.0131578947368421,0.0,0.0131578947368421,0.0,01
2021-02-25,0.329787234042553,0.0,0.0,0.0106382978723404,0.0,0.0319148936170213,0.0,01
2021-02-26,0.300970873786408,0.0,0.0,0.0097087378640776,0.0,0.029126213592233,0.0,01
2021-02-27,0.292035398230089,0.0,0.0,0.0088495575221238,0.0,0.0265486725663717,0.0,01
2021-02-28,0.2928066899407325,0.0,0.0,0.0044247787610619,0.0,0.027035804173094098,0.0,01
2021-03-01,0.293577981651376,0.0,0.0,0.0,0.0,0.0275229357798165,0.0,01
2021-03-02,0.298850574712644,0.0,0.0,0.0,0.0,0.0229885057471264,0.0,01
2021-03-03,0.283783783783784,0.0,0.0,0.027027027027027,0.0,0.027027027027027,0.0,01
2021-03-04,0.383561643835616,0.0,0.0,0.0273972602739726,0.0,0.0,0.0,01
2021-03-05,0.477611940298507,0.0,0.0,0.0298507462686567,0.0,0.0,0.0,01
2021-03-06,0.5,0.0,0.0,0.05,0.0,0.0,0.0,01
2021-03-07,0.493150684931507,0.0,0.0,0.0684931506849315,0.0,0.0,0.0,01
2021-03-08,0.52112676056338,0.0,0.0,0.0845070422535211,0.0,0.0,0.0,01
2021-03-09,0.5,0.0125,0.0,0.075,0.0,0.0,0.0,01
2021-03-10,0.486486486486487,0.0135135135135135,0.0,0.0675675675675676,0.0,0.0,0.0,01
2021-03-11,0.4,0.0153846153846154,0.0,0.107692307692308,0.0,0.0,0.0,01
2021-03-12,0.318181818181818,0.0151515151515152,0.0,0.121212121212121,0.0,0.0,0.0,01
2021-03-13,0.378378378378378,0.0135135135135135,0.0,0.108108108108108,0.0,0.0,0.0,01
2021-03-14,0.343283582089552,0.0149253731343284,0.0,0.0895522388059701,0.0,0.0,0.0,01
2021-03-15,0.314285714285714,0.0142857142857143,0.0,0.0714285714285714,0.0,0.0,0.0,01
2021-03-16,0.342857142857143,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,01
2021-03-17,0.358208955223881,0.0,0.0,0.0895522388059701,0.0,0.0,0.0,01
2021-03-18,0.416666666666667,0.0,0.0,0.0555555555555555,0.0,0.0,0.0,01
2021-03-19,0.438356164383562,0.0,0.0,0.0410958904109589,0.0,0.0,0.0,01
2021-03-20,0.442857142857143,0.0,0.0,0.0285714285714286,0.0,0.0,0.0,01
2021-03-21,0.492753623188406,0.0,0.0,0.0289855072463768,0.0,0.0,0.0,01
2021-03-22,0.508474576271186,0.0,0.0,0.0508474576271186,0.0,0.0,0.0,01
2021-03-23,0.59375,0.0,0.0,0.046875,0.0,0.0,0.0,01
2021-03-24,0.649350649350649,0.0,0.0,0.025974025974026,0.012987012987013,0.0,0.0,01
2021-03-25,0.661971830985915,0.0,0.0,0.0422535211267606,0.0140845070422535,0.0,0.0,01
2021-03-26,0.676056338028169,0.0,0.0,0.0422535211267606,0.0140845070422535,0.0422535211267606,0.0,01
2021-03-27,0.695652173913043,0.0,0.0,0.0434782608695652,0.0144927536231884,0.0434782608695652,0.0,01
2021-03-28,0.691176470588235,0.0,0.0,0.0588235294117647,0.0147058823529412,0.0441176470588235,0.0,01
2021-03-29,0.72,0.0,0.0,0.04,0.0266666666666667,0.0533333333333333,0.0,01
